"dose","param","type","country","value"
"DTP2","Shift","Mid","Bangladesh","0"
"DTP2","Shift","Low","Bangladesh","0"
"DTP2","Shift","High","Bangladesh","0"
"DTP2","Shift","Source","Bangladesh","WHO schedules database"
"DTP2","Scale","Mid","Bangladesh","14.13976669"
"DTP2","Scale","Low","Bangladesh","12.15576879"
"DTP2","Scale","High","Bangladesh","16.44758185"
"DTP2","Scale","Source","Bangladesh","2014_DHS7"
"DTP2","Shape","Mid","Bangladesh","7.266564369"
"DTP2","Shape","Low","Bangladesh","7.266564369"
"DTP2","Shape","High","Bangladesh","7.266564369"
"DTP2","Shape","Source","Bangladesh","2014_DHS7"
"DTP3","Shift","Mid","Bangladesh","0"
"DTP3","Shift","Low","Bangladesh","0"
"DTP3","Shift","High","Bangladesh","0"
"DTP3","Shift","Source","Bangladesh","WHO schedules database"
"DTP3","Scale","Mid","Bangladesh","19.38921809"
"DTP3","Scale","Low","Bangladesh","16.75920623"
"DTP3","Scale","High","Bangladesh","22.43195609"
"DTP3","Scale","Source","Bangladesh","2014_DHS7"
"DTP3","Shape","Mid","Bangladesh","7.536644936"
"DTP3","Shape","Low","Bangladesh","7.536644936"
"DTP3","Shape","High","Bangladesh","7.536644936"
"DTP3","Shape","Source","Bangladesh","2014_DHS7"
"DTP1","Shift","Mid","Belarus","4.3"
"DTP1","Shift","Low","Belarus","4.3"
"DTP1","Shift","High","Belarus","4.3"
"DTP1","Shift","Source","Belarus","WHO schedules database"
"DTP1","Scale","Mid","Belarus","10.4702934"
"DTP1","Scale","Low","Belarus","8.925432068"
"DTP1","Scale","High","Belarus","13.59504236"
"DTP1","Scale","Source","Belarus","2m schedule (n=23)"
"DTP1","Shape","Mid","Belarus","5.757823944"
"DTP1","Shape","Low","Belarus","5.757823944"
"DTP1","Shape","High","Belarus","5.757823944"
"DTP1","Shape","Source","Belarus","2m schedule (n=23)"
"DTP2","Shift","Mid","Belarus","0"
"DTP2","Shift","Low","Belarus","0"
"DTP2","Shift","High","Belarus","0"
"DTP2","Shift","Source","Belarus","WHO schedules database"
"DTP2","Scale","Mid","Belarus","20.06838989"
"DTP2","Scale","Low","Belarus","17.76549891"
"DTP2","Scale","High","Belarus","23.65967542"
"DTP2","Scale","Source","Belarus","4m schedule (n=17)"
"DTP2","Shape","Mid","Belarus","7.156065941"
"DTP2","Shape","Low","Belarus","7.156065941"
"DTP2","Shape","High","Belarus","7.156065941"
"DTP2","Shape","Source","Belarus","4m schedule (n=17)"
"DTP3","Shift","Mid","Belarus","-4.333333333"
"DTP3","Shift","Low","Belarus","-4.333333333"
"DTP3","Shift","High","Belarus","-4.333333333"
"DTP3","Shift","Source","Belarus","WHO schedules database"
"DTP3","Scale","Mid","Belarus","29.54562926"
"DTP3","Scale","Low","Belarus","26.24583081"
"DTP3","Scale","High","Belarus","34.25329411"
"DTP3","Scale","Source","Belarus","6m schedule (n=17)"
"DTP3","Shape","Mid","Belarus","8.138547838"
"DTP3","Shape","Low","Belarus","8.138547838"
"DTP3","Shape","High","Belarus","8.138547838"
"DTP3","Shape","Source","Belarus","6m schedule (n=17)"
"DTP1","Shift","Mid","Belize","0"
"DTP1","Shift","Low","Belize","0"
"DTP1","Shift","High","Belize","0"
"DTP1","Shift","Source","Belize","WHO schedules database"
"DTP1","Scale","Mid","Belize","11.28411102"
"DTP1","Scale","Low","Belize","9.365999617"
"DTP1","Scale","High","Belize","13.59504236"
"DTP1","Scale","Source","Belize","2011_MICS4"
"DTP1","Shape","Mid","Belize","5.89670372"
"DTP1","Shape","Low","Belize","5.89670372"
"DTP1","Shape","High","Belize","5.89670372"
"DTP1","Shape","Source","Belize","2011_MICS4"
"DTP2","Shift","Mid","Belize","0"
"DTP2","Shift","Low","Belize","0"
"DTP2","Shift","High","Belize","0"
"DTP2","Shift","Source","Belize","WHO schedules database"
"DTP2","Scale","Mid","Belize","20.76226807"
"DTP2","Scale","Low","Belize","17.76549891"
"DTP2","Scale","High","Belize","24.26454655"
"DTP2","Scale","Source","Belize","2011_MICS4"
"DTP2","Shape","Mid","Belize","7.04785347"
