Country,age,1900,1905,1910,1915,1920,1925,1930,1935,1940,1945,1950,1955,1960,1965,1970,1975,1980,1985,1990,1995,2000,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100
Algeria,35,201.15,204.57,208.05,211.58,215.18,218.84,222.56,226.34,230.19,234.1,238.079,242.126,245.162,295.883,361.451,366.055,375.172,469.949,699.864,825.476,982.899,1103.824,1250.055,1526.278,1782.775,1862.872,1785.075,1496.676,1443.44,1896.684,2304.729,2503.349,2275.079,2063.798,1986.385,2067.301,2205.758,2274.239,2224.601,2107.166,2010.865
Algeria,40,521.18,479.1,440.41,404.85,372.16,342.11,314.48,289.09,265.74,244.28,224.558,206.425,226.665,229.816,281.151,341.001,341.811,364.126,455.694,682.489,800.252,947.386,1064.421,1230.214,1511.22,1766.409,1847.014,1770.832,1485.249,1433.114,1884.687,2291.637,2490.328,2263.927,2054.178,1977.648,2058.826,2197.332,2266.113,2217.074,2100.354
Algeria,45,65.6,72.66,80.48,89.14,98.74,109.37,121.14,134.18,148.62,164.62,182.337,201.964,192.023,211.153,216.425,261.96,318.505,329.867,351.353,441.294,663.127,775.237,914.027,1046.649,1214.095,1492.778,1746.506,1827.684,1753.573,1471.6,1420.857,1870.17,2275.578,2474.285,2250.262,2042.502,1967.067,2048.504,2187.084,2256.266,2208.033
Algeria,50,330.59,310.39,291.43,273.62,256.9,241.21,226.47,212.63,199.64,187.44,175.988,165.235,185.897,176.662,196.214,198.32,242.656,303.472,315.89,337.171,424.371,644.025,746.146,893.482,1026.74,1192.438,1468.081,1719.68,1801.625,1730.342,1453.405,1404.58,1850.592,2253.722,2452.303,2231.587,2026.55,1952.597,2034.412,2173.107,2242.844
Algeria,55,7.75,10.19,13.4,17.63,23.18,30.49,40.1,52.74,69.37,91.24,119.997,157.823,148.974,168.234,160.582,181.076,184.567,229.769,293.698,305.996,340.986,419.734,631.79,736.107,867.903,999.153,1162.483,1433.698,1682.254,1765.18,1697.876,1428.093,1381.91,1823.109,2222.72,2420.95,2204.811,2003.599,1931.849,2014.223,2153.012
Algeria,60,47.51,50.99,54.73,58.74,63.04,67.67,72.63,77.95,83.66,89.8,96.379,103.444,136.668,129.679,147.147,145.197,164.51,170.459,223.231,282.155,313.495,342.834,421.684,625.659,703.307,831.615,959.962,1119.805,1384.677,1628.786,1713.189,1651.606,1392.013,1349.582,1783.57,2177.887,2375.224,2165.561,1970.1,1901.642,1984.798
Algeria,65,22.39,25.06,28.04,31.38,35.12,39.3,43.98,49.22,55.08,61.63,68.973,77.186,83.45,111.145,106.23,122.583,122.413,141.757,157.664,204.813,271.908,294.14,327.173,402.118,583.04,658.306,781.508,905.615,1060.523,1316.347,1554.12,1640.39,1586.483,1341.027,1303.489,1726.711,2112.65,2307.971,2107.795,1920.735,1856.913
Algeria,70,49.16,49.14,49.11,49.08,49.05,49.03,49,48.97,48.95,48.92,48.892,48.865,55.369,60.656,81.738,79.652,93.402,96.279,119.708,136.027,183.517,232.815,264.861,291.628,359.717,525.185,596.433,712.101,829.974,977.464,1220.029,1448.109,1535.981,1492.18,1266.225,1235.104,1641.024,2012.898,2204.619,2018.535,1843.802
Algeria,75,1.87,2.39,3.05,3.91,5,6.4,8.19,10.47,13.4,17.14,21.936,28.066,28.644,33.168,37.043,51.38,51.424,63.002,69.315,89.829,105.473,141.564,194.19,217.63,241.813,301.537,444.318,509.177,613.58,721.694,857.613,1079.769,1291.857,1380.346,1349.56,1151.756,1128.879,1506.078,1855.104,2040.292,1875.458
Algeria,80,827.82,549.16,364.29,241.66,160.31,106.35,70.55,46.8,31.05,20.59,13.662,9.063,11.993,12.668,15.125,17.858,25.541,27.219,35.562,42.604,57.32,68.993,100.73,138.8,157.783,178.288,225.508,337.051,391.961,479.279,571.973,689.363,879.342,1064.89,1149.956,1135.103,976.601,963.805,1294.95,1606.397,1778.662
Algeria,85,131.83,94.73,68.07,48.92,35.15,25.26,18.15,13.04,9.37,6.74,4.84,3.478,2.426,3.379,3.734,4.742,5.894,9.093,10.482,14.697,19.658,29.153,37.986,57.485,80.994,94.324,108.708,140.296,214.207,254.528,318.102,387.887,477.033,620.164,763.74,837.458,837.526,728.688,727.506,988.997,1240.678
Algeria,90,"1,591,635.17","418,383.56","109,977.97","28,909.25","7,599.20","1,997.56",525.09,138.03,36.28,9.54,2.507,0.659,0.505,0.377,0.559,0.651,0.885,1.208,2.002,2.378,4.317,7.112,11.286,15.672,24.471,35.565,42.415,50.116,66.468,104.406,127.763,164.492,206.351,260.769,347.378,437.569,489.302,497.708,440.776,448.142,620.021
Algeria,95,"46,629.37","14,921.40","4,774.85","1,527.95",488.94,156.46,50.07,16.02,5.13,1.64,0.525,0.168,0.048,0.039,0.032,0.051,0.063,0.094,0.138,0.239,0.428,1.04,1.83,3.073,4.409,7.111,10.582,12.951,15.767,21.599,35.129,44.579,59.472,77.254,100.795,138.377,179.01,204.919,213.691,194.22,202.548
Algeria,100,195.18,84.28,36.4,15.72,6.79,2.93,1.27,0.55,0.24,0.1,0.044,0.019,0.007,0.002,0.002,0.002,0.003,0.003,0.005,0.009,0.023,0.062,0.159,0.294,0.511,0.774,1.253,1.908,2.441,3.062,4.262,7.018,9.486,13.094,17.692,23.909,33.658,45.22,54.648,60.341,58.928
Angola,0,72.71,85.52,100.59,118.31,139.16,163.68,192.52,226.44,266.34,313.28,368.476,433.403,494.128,501.11,518.767,677.347,795.741,962.753,1152.992,1330.328,1535.574,1834.129,2233.041,2615.784,2923.514,3291.748,3714.206,4155.984,4585.863,5018.539,5427.478,5836.456,6248.39,6656.674,7031.061,7392.421,7714.262,7998.046,8289.623,8535.293,8717.134
