"Country","age","1900","1905","1910","1915","1920","1925","1930","1935","1940","1945","1950","1955","1960","1965","1970","1975","1980","1985","1990","1995","2000","2005","2010","2015","2020","2025","2030","2035","2040","2045","2050","2055","2060","2065","2070","2075","2080","2085","2090","2095","2100"
"Albania",80,"6.74","6.49","6.24","6.01","5.79","5.57","5.36","5.16","4.97","4.78",4.605,4.433,5.235,6.63,7.482,6.772,8.817,8.725,11.91,12.64,13.646,15.143,19.189,23.386,28.149,33.249,36.165,46.289,59.403,64.939,60.899,58.035,49.247,48.664,65.303,73.569,68.653,54.606,41.913,46.876,46.78
"Albania",85,"4,024.08","2,030.28","1,024.35","516.82","260.75","131.56","66.38","33.49","16.90","8.52",4.301,2.17,2.18,2.771,3.223,3.469,3.167,4.254,4.32,5.532,6.447,7.28,8.316,11.212,12.885,15.793,19.291,21.927,28.927,38.2,42.923,41.305,40.325,34.999,35.333,48.391,55.57,52.797,42.695,33.298,37.774
"Albania",90,"5,181.54","2,454.60","1,162.79","550.84","260.94","123.61","58.56","27.74","13.14","6.23",2.949,1.397,0.738,0.799,0.887,0.947,1.016,0.952,1.294,1.207,1.655,2.215,2.575,2.818,4.043,4.76,6.127,7.985,9.502,13.1,18.061,21.143,21.157,21.435,19.276,20.137,28.489,33.749,33.008,27.458,21.981
"Albania",95,"47,135.01","16,899.07","6,058.74","2,172.21","778.79","279.22","100.11","35.89","12.87","4.61",1.654,0.593,0.292,0.165,0.147,0.143,0.15,0.161,0.149,0.182,0.183,0.3,0.424,0.43,0.534,0.791,0.996,1.401,1.948,2.471,3.628,5.319,6.603,6.993,7.488,7.105,7.819,11.632,14.451,14.813,12.882
"Albania",100,"0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00",0.001,0.186,0.089,0.045,0.02,0.013,0.012,0.012,0.013,0.01,0.013,0.016,0.028,0.03,0.036,0.048,0.075,0.104,0.155,0.232,0.319,0.497,0.783,1.062,1.237,1.429,1.489,1.729,2.638,3.585,4.094
"Algeria",0,"50.03","65.02","84.50","109.83","142.74","185.52","241.12","313.39","407.31","529.38",688.027,894.226,1014.739,1168.934,1312.782,1504.63,1717.081,1896.219,1942.453,1826.66,1508.719,1448.491,1885.869,2276.948,2467.456,2037.674,1713.596,1546.478,1582.247,1648.672,1637.945,1521.195,1352.696,1211.303,1126.397,1087.442,1053.43,993.374,910.114,824.705,756.435
"Algeria",5,"307.27","326.93","347.86","370.12","393.80","419.00","445.82","474.35","504.70","537.00",571.364,607.928,812.147,931.584,1089.567,1229.448,1428.503,1671.659,1863.616,1917.062,1805.099,1492.318,1434.994,1876.091,2269.335,2460.26,2032.23,1709.305,1542.839,1578.834,1645.426,1634.925,1518.48,1350.294,1209.145,1124.392,1085.544,1051.621,991.654,908.491,823.171
"Algeria",10,"286.63","304.10","322.64","342.31","363.19","385.33","408.82","433.75","460.19","488.25",518.022,549.606,588.829,795.091,916.112,1066.348,1209.592,1417.557,1660.376,1852.257,1906.275,1795.465,1484.432,1430.244,1872.109,2265.096,2456.208,2029.104,1706.801,1540.704,1576.838,1643.518,1633.156,1516.885,1348.903,1207.897,1123.244,1084.458,1050.592,990.689,907.582
"Algeria",15,"199.33","216.42","234.99","255.14","277.02","300.78","326.58","354.59","385.00","418.02",453.872,492.799,522.123,559.233,779.291,890.887,1042.576,1200.509,1408.3,1651.197,1843.185,1898.141,1788.153,1476.198,1425.863,1867.241,2259.979,2451.195,2024.927,1703.219,1537.473,1573.713,1640.482,1630.243,1514.163,1346.373,1205.513,1120.961,1082.238,1048.441,988.592
"Algeria",20,"162.86","177.53","193.52","210.95","229.96","250.67","273.25","297.86","324.69","353.94",385.816,420.568,458.055,469.988,533.869,745.218,858.684,1024.766,1188.893,1396.671,1624.573,1832.662,1886.372,1771.707,1468.812,1418.877,1859.694,2252.06,2443.31,2018.007,1696.991,1531.632,1567.986,1634.844,1624.745,1508.896,1341.345,1200.666,1116.246,1077.613,1043.887
"Algeria",25,"72.41","83.55","96.40","111.22","128.32","148.05","170.82","197.09","227.39","262.36",302.698,349.243,392.384,418.646,441.902,497.3,712.008,834.046,1005.956,1170.043,1347.939,1591.606,1801.099,1861.09,1761.867,1460.149,1410.656,1850.776,2242.687,2433.943,2009.73,1689.481,1524.581,1561.053,1627.987,1618.062,1502.464,1335.209,1194.75,1110.483,1071.956
"Algeria",30,"395.26","381.88","368.96","356.47","344.41","332.76","321.50","310.62","300.10","289.95",280.137,270.657,330.388,371.92,399.003,409.071,472.271,694.253,808.525,979.966,1125.123,1302.658,1533.215,1776.88,1850.199,1751.8,1451.523,1402.538,1841.808,2233.145,2424.392,2001.502,1682.191,1517.838,1554.448,1621.482,1611.767,1496.495,1329.59,1189.417,1105.341
"Algeria",35,"108.34","117.14","126.66","136.95","148.07","160.10","173.10","187.16","202.36","218.80",236.574,255.79,256.473,314.268,356.23,375.814,390.303,462.88,672.423,786.379,949.215,1096.734,1250.591,1516.042,1764.741,1838.341,1741.105,1442.698,1394.365,1832.494,2223.078,2414.31,1993.146,1675.069,1511.437,1548.242,1615.406,1605.967,1491.133,1324.695,1184.893
"Algeria",40,"345.30","331.35","317.97","305.12","292.79","280.97","269.61","258.72","248.27","238.24",228.615,219.379,243.044,243.509,300.35,338.86,361.031,380.943,449.392,656.706,763.736,930.605,1067.842,1234.867,1502.809,1750.543,1824.637,1728.898,1432.929,1385.431,1822.053,2211.585,2402.787,1983.905,1667.474,1504.795,1541.869,1609.209,1600.149,1485.895,1320.086
"Algeria",45,"19.44","24.19","30.09","37.44","46.59","57.97","72.13","89.75","111.67","138.94",172.882,215.109,208.468,230.79,232.312,284.475,324.072,351.036,369.576,437.259,638.738,745.237,907.518,1051.924,1220.495,1486.691,1733.294,1807.969,1714.111,1421.283,1374.881,1809.448,2197.558,2388.66,1972.824,1658.587,1497.184,1534.61,1602.182,1593.619,1480.161
"Algeria",50,"375.60","348.02","322.46","298.78","276.84","256.51","237.68","220.23","204.05","189.07",175.187,162.323,202.671,196.016,218.624,217.386,269.069,312.882,339.515,358.077,424.391,621.137,722.586,890.264,1035.144,1202.44,1466.439,1711.472,1786.794,1695.384,1406.692,1361.691,1793.485,2179.676,2370.602,1958.823,1647.523,1487.826,1525.711,1593.599,1585.714
"Algeria",55,"1.26","1.97","3.06","4.75","7.38","11.47","17.83","27.72","43.09","66.97",104.104,161.817,150.201,187.794,182.639,203.766,203.971,257.132,300.43,326.543,352.729,418.559,608.788,708.044,870.269,1013.597,1179.291,1440.308,1683.161,1759.312,1671.099,1387.851,1344.7,1772.807,2156.393,2347.121,1940.727,1633.329,1475.928,1514.438,1582.754
"Algeria",60,"70.84","72.58","74.36","76.18","78.04","79.95","81.91","83.91","85.97","88.07",90.23,92.439,144.391,134.765,169.355,166.695,187.318,190.861,242.629,283.933,326.94,354.174,419.846,591.024,684.035,842.942,984.13,1147.525,1404.313,1644.126,1721.427,1637.653,1362.008,1321.428,1744.418,2124.429,2314.917,1916.045,1614.108,1459.888,1499.288
"Algeria",65,"11.57","13.70","16.23","19.23","22.77","26.97","31.95","37.84","44.82","53.09",62.88,74.478,76.997,121.444,114.353,145.657,145.197,167.369,172.989,220.451,276.124,319.458,349.011,397.563,560.16,650.915,805.037,942.979,1102.854,1353.438,1588.722,1667.405,1589.806,1324.932,1287.921,1703.335,2077.985,2267.938,1879.983,1585.972,1436.349
"Algeria",70,"42.28","42.60","42.92","43.25","43.58","43.91","44.24","44.58","44.92","45.26",45.606,45.953,55.288,58.094,92.979,89.379,115.83,119.886,141.01,146.536,198.279,249.2,293.738,318.195,364.221,516.494,603.486,750.167,882.792,1036.949,1277.769,1505.56,1585.681,1516.808,1267.916,1236.012,1639.133,2004.761,2193.315,1822.257,1540.571
"Algeria",75,"1.53","1.99","2.58","3.36","4.36","5.66","7.35","9.55","12.40","16.11",20.923,27.174,28.097,34.708,37.34,61.595,60.974,83.201,88.826,105.328,116.744,159.125,207.624,248.631,272.083,314.811,450.604,531.03,665.354,788.85,933.146,1157.366,1372.047,1453.28,1397.509,1174.014,1149.884,1531.71,1881.371,2066.595,1723.487
"Algeria",80,"1,287.14","819.86","522.22","332.63","211.87","134.96","85.96","54.75","34.88","22.21",14.15,9.013,12.196,13.138,16.839,19.208,32.686,34.803,49.416,53.577,70.152,79.849,113.923,152.345,185.844,207.077,243.438,353.671,422.612,536.536,644.146,770.902,966.714,1157.879,1238.293,1201.687,1018.294,1005.55,1350.065,1670.687,1848.211
"Algeria",85,"167.47","118.85","84.35","59.86","42.49","30.15","21.40","15.19","10.78","7.65",5.429,3.853,2.605,3.739,4.248,5.807,7,12.962,14.602,21.142,25.993,37.063,43.889,65.169,90.055,112.975,129.112,155.469,231.063,282.216,365.926,448.112,546.534,697.721,849.938,923.779,910.456,782.951,784.284,1067.452,1338.271
"Algeria",90,"896,298.41","253,657.91","71,786.73","20,316.08","5,749.58","1,627.16","460.50","130.32","36.88","10.44",2.954,0.836,0.64,0.466,0.718,0.863,1.266,1.685,3.332,3.866,6.443,9.584,14.104,17.233,26.899,38.622,50.212,59.4,73.95,113.547,143.182,191.397,241.411,302.889,397.302,496.866,553.962,559.52,492.852,505.266,703.227
"Algeria",95,"1,674,043.61","399,143.20","95,167.94","22,690.95","5,410.22","1,289.96","307.57","73.33","17.48","4.17",0.994,0.237,0.073,0.061,0.048,0.079,0.104,0.166,0.236,0.482,0.698,1.531,2.296,3.381,4.387,7.142,10.711,14.539,17.951,23.324,37.375,49.13,68.424,89.83,117.185,159.724,207.431,239.943,251.377,229.488,243.63
"Algeria",100,"159,707.01","40,776.26","10,410.96","2,658.12","678.67","173.28","44.24","11.30","2.88","0.74",0.188,0.048,0.013,0.004,0.003,0.003,0.005,0.007,0.012,0.018,0.044,0.096,0.201,0.289,0.452,0.628,1.043,1.637,2.341,3.056,4.141,6.796,9.553,13.903,19.307,26.527,37.811,51.999,64.689,73.182,73.219
"Angola",0,"68.01","80.58","95.47","113.12","134.03","158.80","188.14","222.92","264.11","312.93",370.76,439.282,500.543,506.695,515.235,682.694,801.162,970.33,1161.349,1340.277,1546.98,1842.658,2239.035,2576.574,2871.49,3077.837,3351.522,3642.087,3972.499,4261.524,4479.392,4659.778,4822.01,4971.929,5087.513,5178.804,5217.27,5206.615,5191.286,5137.645,5037.968
"Angola",5,"84.10","95.10","107.53","121.59","137.49","155.47","175.80","198.78","224.77","254.16",287.397,324.975,388.028,422.219,433.136,484.708,643.264,760.363,916.6,1091.158,1264.836,1478.917,1800.01,2197.12,2535.92,2831.205,3041.095,3317.622,3610.932,3943.567,4235.04,4455.556,4638.257,4802.355,4953.91,5070.812,5163.052,5202.29,5192.393,5177.677,5124.586
"Angola",10,"144.10","152.80","162.02","171.81","182.19","193.19","204.86","217.23","230.35","244.26",259.008,274.65,230.819,352.193,342.093,432.069,483.483,640.817,752.994,902.751,1077.285,1255.169,1478.224,1793.267,2182.666,2519.715,2815.455,3026.613,3304.047,3598.139,3931.445,4223.652,4444.973,4628.318,4793.037,4945.047,5062.306,5154.81,5194.351,5184.729,5170.241
"Angola",15,"140.26","147.79","155.72","164.08","172.88","182.16","191.94","202.24","213.09","224.52",236.571,249.266,184.667,206.857,243.607,343.473,432.015,484.239,636.231,743.747,893.953,1071.06,1255.663,1473.079,1780.69,2168.259,2505.325,2801.695,3013.874,3291.888,3586.471,3920.136,4212.746,4434.488,4618.29,4783.38,4935.638,5053.134,5145.835,5185.676,5176.275
"Angola",20,"156.65","161.93","167.38","173.02","178.85","184.87","191.10","197.53","204.19","211.06",218.173,225.521,218.006,164.605,232.478,243.537,340.933,429.39,478.542,624.215,731.544,883.18,1068.258,1246.606,1458.325,1763.88,2150.611,2487.85,2784.762,2997.819,3276.281,3571.177,3904.968,4197.727,4419.844,4604.019,4769.325,4921.785,5039.51,5132.431,5172.584
"Angola",25,"90.69","97.74","105.33","113.51","122.33","131.83","142.07","153.10","164.99","177.81",191.617,206.5,244.463,196.536,200.58,229.479,240.879,337.824,421.855,467.578,610.302,718.877,877.07,1057.068,1231.078,1441.569,1746.313,2132.13,2469.184,2766.206,2979.899,3258.551,3553.509,3887.074,4179.809,4402.05,4586.411,4751.807,4904.403,5022.324,5115.444
"Angola",30,"74.57","80.81","87.57","94.90","102.84","111.44","120.76","130.87","141.81","153.68",166.534,180.466,205.008,221.748,205.459,197.188,225.562,238.231,330.559,410.233,456.065,597.736,712.319,865.793,1041.425,1214.334,1424.457,1728.283,2112.789,2449.205,2746.082,2960.229,3238.853,3533.609,3866.799,4159.316,4381.577,4565.96,4731.528,4884.214,5002.357
"Angola",35,"46.81","52.23","58.27","65.02","72.54","80.94","90.31","100.76","112.42","125.43",139.947,156.144,165.174,184.522,171.287,200.319,193.113,220.751,232.462,320.217,398.356,445.715,590.5,700.895,850.121,1024.032,1196.463,1406.032,1708.492,2091.089,2426.491,2722.942,2937.369,3215.7,3510.131,3842.708,4134.828,4357.06,4541.558,4707.337,4860.223
"Angola",40,"28.59","32.83","37.70","43.28","49.69","57.05","65.51","75.21","86.35","99.15",113.836,130.701,138.777,147.374,142.066,166.423,194.512,188.105,213.837,224.205,309.788,387.261,439.355,578.254,684.932,832.115,1004.642,1176.214,1384.645,1684.862,2064.652,2398.31,2693.729,2908.042,3185.695,3479.357,3810.912,4102.28,4324.425,4509.091,4675.147
"Angola",45,"28.73","32.35","36.42","41.01","46.18","52.00","58.55","65.93","74.24","83.60",94.134,105.997,113.182,123.248,97.469,137.524,160.903,187.862,181.084,204.561,216.368,299.797,379.162,427.734,561.29,666.165,811.398,981.884,1151.865,1358.211,1655.086,2030.727,2361.559,2655.051,2868.823,3145.194,3437.603,3767.516,4057.952,4279.951,4464.933
